26268:2025-10-23 17:04:41,409 - core.position_manager - INFO - Trailing stop activated for MLNUSDT
227858:2025-10-23 18:15:51,119 - protection.trailing_stop - INFO - ✅ FLUIDUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=N/A, lowest_price=4.46600000, current_stop=4.55532000, update_count=0
227860:2025-10-23 18:15:51,119 - protection.trailing_stop - INFO - ✅ USUALUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=N/A, lowest_price=0.03073000, current_stop=0.03133440, update_count=0
227862:2025-10-23 18:15:51,120 - protection.trailing_stop - INFO - ✅ KNCUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=N/A, lowest_price=0.30720000, current_stop=0.31273200, update_count=0
227864:2025-10-23 18:15:51,120 - protection.trailing_stop - INFO - ✅ ENAUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=N/A, lowest_price=0.46500000, current_stop=0.47338200, update_count=0
227866:2025-10-23 18:15:51,120 - protection.trailing_stop - INFO - ✅ HIVEUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=0.13567000, lowest_price=N/A, current_stop=0.13334860, update_count=0
227874:2025-10-23 18:15:51,126 - protection.trailing_stop - INFO - ✅ HNTUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=1.75154900, lowest_price=N/A, current_stop=None, update_count=0
227876:2025-10-23 18:15:51,126 - protection.trailing_stop - INFO - ✅ RADUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=N/A, lowest_price=2.40413000, current_stop=None, update_count=0
227878:2025-10-23 18:15:51,126 - protection.trailing_stop - INFO - ✅ XDCUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=N/A, lowest_price=0.06000000, current_stop=None, update_count=0
228519:2025-10-23 18:16:10,088 - core.position_manager - INFO - Trailing stop activated for VELODROMEUSDT
231330:2025-10-23 18:18:20,831 - core.position_manager - INFO - Trailing stop activated for SAROSUSDT
233117:2025-10-23 18:19:18,237 - core.position_manager - INFO - Trailing stop activated for CELOUSDT
234729:2025-10-23 18:20:18,188 - protection.trailing_stop - INFO - 🗑️  ENJUSDT: Canceling Protection Manager SL (order_id=77269387, stopPrice=0.04440) before TS activation
235166:2025-10-23 18:20:29,312 - protection.trailing_stop - INFO - 🗑️  IDOLUSDT: Canceling Protection Manager SL (order_id=10896544, stopPrice=0.0391200) before TS activation
