pair,direction,datetime,price,price_5min_before,price_change_5min_percent,open_interest_usdt,volume_1h_usdt,high_1h,low_1h,profit_1h_percent,exchange
ESPORTSUSDT,SELL,2025-10-27 12:30:00,$0.22864000,$0.22982000,-0.51%,"$2,900,319.47","$126,121.56",$0.23092000,$0.22533000,+1.45%,BINANCE
PIXELUSDT,SELL,2025-10-27 12:15:00,$0.01776000,$0.01777000,-0.06%,"$1,425,557.07","$91,507.39",$0.01782000,$0.01756000,+1.13%,BINANCE
PIPPINUSDT,SELL,2025-10-27 12:15:00,$0.01879000,$0.01887000,-0.42%,"$5,920,802.90","$1,093,898.55",$0.01892000,$0.01853000,+1.38%,BINANCE
ESPORTSUSDT,SELL,2025-10-27 11:45:00,$0.22623000,$0.22522000,+0.45%,"$2,902,491.89","$68,641.97",$0.22904000,$0.22317000,+1.35%,BINANCE
TAIUSDT,SELL,2025-10-27 11:45:00,$0.04494000,$0.04500000,-0.13%,"$1,660,791.67","$75,288.35",$0.04527000,$0.04465000,+0.65%,BYBIT
PIXELUSDT,SELL,2025-10-27 11:45:00,$0.01786000,$0.01775000,+0.62%,"$1,421,235.54","$166,517.93",$0.01786000,$0.01759000,+1.51%,BINANCE
YALAUSDT,SELL,2025-10-27 11:30:00,$0.10340000,$0.10260000,+0.78%,"$3,083,019.23","$274,109.03",$0.10500000,$0.10170000,+1.64%,BINANCE
JUPUSDT,BUY,2025-10-27 11:15:00,$0.44520000,$0.44160000,+0.82%,"$29,530,807.46","$5,901,930.32",$0.45040000,$0.43890000,+1.17%,BINANCE
PYRUSDT,BUY,2025-10-27 10:45:00,$0.67840000,$0.68060000,-0.32%,"$162,872.60","$12,209.83",$0.68500000,$0.67760000,+0.97%,BYBIT
BLASTUSDT,BUY,2025-10-27 10:30:00,$0.00152300,$0.00152300,+0.00%,"$2,607,918.00","$31,202.26",$0.00153100,$0.00151400,+0.53%,BYBIT
INUSDT,BUY,2025-10-27 09:00:00,$0.14508000,$0.14611000,-0.70%,"$3,124,170.37","$2,583,115.45",$0.14526000,$0.13542000,+0.12%,BINANCE
QNTUSDT,BUY,2025-10-27 08:45:00,$83.37000000,$83.32000000,+0.06%,"$4,452,732.52","$1,046,426.69",$83.65000000,$82.84000000,+0.34%,BINANCE
GUNUSDT,BUY,2025-10-27 07:45:00,$0.01904000,$0.01890000,+0.74%,"$1,403,024.75","$521,603.45",$0.01923000,$0.01863000,+1.00%,BINANCE
SAFEUSDT,SELL,2025-10-27 07:30:00,$0.26940000,$0.27010000,-0.26%,"$1,881,077.31","$308,244.18",$0.27260000,$0.26670000,+1.00%,BINANCE
METUSDT,SELL,2025-10-27 07:30:00,$0.57130000,$0.57090000,+0.07%,"$12,726,113.76","$3,321,327.76",$0.57710000,$0.55880000,+2.19%,BINANCE
SKYAIUSDT,SELL,2025-10-27 06:45:00,$0.02546000,$0.02531000,+0.59%,"$2,376,660.09","$359,215.21",$0.02621000,$0.02517000,+1.14%,BINANCE
SKYAIUSDT,SELL,2025-10-27 06:30:00,$0.02548000,$0.02539000,+0.35%,"$2,375,231.64","$359,215.21",$0.02621000,$0.02517000,+1.22%,BINANCE
PUMPFUNUSDT,SELL,2025-10-27 06:30:00,$0.00479000,$0.00479300,-0.06%,"$92,936,368.68","$6,013,344.00",$0.00482700,$0.00471700,+1.52%,BYBIT
SOPHUSDT,SELL,2025-10-27 06:15:00,$0.03041900,$0.03024300,+0.58%,"$6,256,619.88","$1,082,052.97",$0.03067600,$0.02991400,+1.66%,BINANCE
FWOGUSDT,SELL,2025-10-27 06:00:00,$0.02525000,$0.02536000,-0.43%,"$731,728.65","$26,375.62",$0.02552000,$0.02507000,+0.71%,BYBIT
MUSDT,SELL,2025-10-27 05:45:00,$2.09280000,$2.09400000,-0.06%,"$18,058,078.15","$232,778.81",$2.11310000,$2.08850000,+0.21%,BINANCE
METUSDT,SELL,2025-10-27 05:15:00,$0.57230000,$0.57650000,-0.73%,"$12,716,529.11","$1,928,441.41",$0.57890000,$0.56520000,+1.24%,BINANCE
EDENUSDT,SELL,2025-10-27 05:15:00,$0.20450000,$0.20430000,+0.10%,"$8,361,542.12","$1,454,973.72",$0.20620000,$0.20150000,+1.47%,BINANCE
METUSDT,SELL,2025-10-27 05:00:00,$0.57670000,$0.57710000,-0.07%,"$12,715,126.59","$1,928,441.41",$0.57890000,$0.56520000,+1.99%,BINANCE
ERAUSDT,SELL,2025-10-27 04:45:00,$0.36480000,$0.36500000,-0.05%,"$3,208,306.19","$521,491.82",$0.37230000,$0.36370000,+0.30%,BINANCE
