"id","pair_symbol","recommended_action","score_week","score_month","timestamp","created_at","trading_pair_id","exchange_id","score_week_filter","score_month_filter","max_trades_filter","stop_loss_filter","trailing_activation_filter","trailing_distance_filter"
6099159,"API3USDT","BUY","80.00","70.60","2025-10-26 08:00:00+00","2025-10-26 08:18:02.115283+00",2218,1,72,64,3,"5","2","0.5"
6099134,"ATOMUSDT","BUY","80.00","70.60","2025-10-26 08:00:00+00","2025-10-26 08:18:02.115283+00",2130,1,72,64,3,"5","2","0.5"
6058885,"FUNUSDT","BUY","85.70","71.40","2025-10-26 02:45:00+00","2025-10-26 03:04:02.091892+00",2520,1,72,64,3,"5","2","0.5"
6057036,"NOMUSDT","BUY","72.60","64.80","2025-10-26 02:30:00+00","2025-10-26 02:48:01.597193+00",1013358,1,72,64,3,"5","2","0.5"
6055027,"FUNUSDT","BUY","85.70","71.40","2025-10-26 02:15:00+00","2025-10-26 02:33:01.728332+00",2520,1,72,64,3,"5","2","0.5"
6034663,"1000TURBOUSDT","BUY","76.20","66.70","2025-10-25 23:45:00+00","2025-10-26 00:04:02.181545+00",2604,2,71,61,2,"6","2","0.5"
6014905,"JUPUSDT","BUY","80.00","80.00","2025-10-25 21:15:00+00","2025-10-25 21:33:01.541034+00",2326,1,72,64,3,"5","2","0.5"
6013305,"SWARMSUSDT","SELL","77.80","65.60","2025-10-25 21:00:00+00","2025-10-25 21:18:02.0226+00",2470,1,72,64,3,"5","2","0.5"
6007603,"BLUAIUSDT","SELL","77.80","65.60","2025-10-25 20:15:00+00","2025-10-25 20:33:01.748311+00",1013388,1,72,64,3,"5","2","0.5"
6001666,"NXPCUSDT","BUY","80.00","80.00","2025-10-25 19:30:00+00","2025-10-25 19:48:02.0929+00",2558,1,72,64,3,"5","2","0.5"
5999639,"ENSOUSDT","SELL","77.80","65.60","2025-10-25 19:15:00+00","2025-10-25 19:33:02.116622+00",1013376,1,72,64,3,"5","2","0.5"
